j0,j1,j2,j3,j4,j5
-0.7036412397967737,-2.4756954352008265,-1.435478989277975,-0.7617352644549769,-1.5849493185626429,-3.2370486895190638
-0.7024672667132776,-2.4753835836993616,-1.436150375996725,-0.7613871733294886,-1.5848773161517542,-3.23827034631838
-0.7011974493609827,-2.4750478903399866,-1.4368227163897913,-0.7610037962542933,-1.5849970022784632,-3.2394917646991175
-0.6987527052508753,-2.4744370619403284,-1.4382742086993616,-0.7602480093585413,-1.5850451628314417,-3.241899077092306
-0.6975305716144007,-2.4741137663470667,-1.438934628163473,-0.7598884741412562,-1.5852845350848597,-3.2430368105517786
-0.6963208357440394,-2.473813835774557,-1.439617935811178,-0.7595170179950159,-1.5852010885821741,-3.244293991719381
-0.6950743834124964,-2.4734790960894983,-1.4403379599200647,-0.7591093222247522,-1.5854046980487269,-3.2454796473132532
-0.6926539579974573,-2.4727957884417933,-1.4417417685138147,-0.7583897749530237,-1.5855243841754358,-3.2478631178485315
-0.6914919058429163,-2.4724844137774866,-1.4425213972674769,-0.7580779234515589,-1.585656468068258,-3.2490246931659144
-0.6902454535113733,-2.47217303911318,-1.4432051817523401,-0.7577183882342737,-1.5855844656573694,-3.250269953404562
-0.6890714804278772,-2.47182542482485,-1.4439128080951136,-0.757298771535055,-1.585752312337057,-3.2513957659350794
-0.6867354551898401,-2.4711902777301233,-1.445340935383932,-0.7566035429583948,-1.5858600775348108,-3.2537675539599817
-0.6855972448932093,-2.470903221760885,-1.4459646383868616,-0.7562912146197718,-1.5859678427325647,-3.2548933664904993
-0.6844466368304651,-2.4705680052386683,-1.4466365019427698,-0.7559798399554651,-1.5859196821795862,-3.256019179021017
-0.6833685080157679,-2.4702442328082483,-1.4472602049456995,-0.7555840651141565,-1.5861237684832972,-3.257120911275045
-0.6812837759601038,-2.4696572462665003,-1.4485204855548304,-0.7549245993243616,-1.5861714521991175,-3.2591806093799036
-0.6801932493792933,-2.469393555318014,-1.4490364233600062,-0.7546609083758753,-1.586231533681051,-3.2601385752307337
-0.6791866461383265,-2.469153706227438,-1.4496482054339808,-0.7543252150165003,-1.5861957708941858,-3.2611685434924524
-0.6782401243792933,-2.4689024130450647,-1.4502480665790003,-0.7540133635150355,-1.58635121980776,-3.262043062840597
-0.6763828436480921,-2.4684231917010706,-1.4513395468341272,-0.7534497419940394,-1.58635121980776,-3.2638750712024134
-0.6755684057818812,-2.4681718985186976,-1.4518559614764612,-0.7532098929034632,-1.586458985005514,-3.2647255102740687
-0.6747053305255335,-2.4679439703570765,-1.452310864125387,-0.7529581228839319,-1.5863154570208948,-3.2655158678637903
-0.6739142576800745,-2.467776123677389,-1.4527915159808558,-0.7526705900775355,-1.5865309874164026,-3.266282383595602
-0.6724289099322718,-2.4673927466021937,-1.453691307698385,-0.7522032896624964,-1.586555306111471,-3.2677794138537806
-0.6716974417315882,-2.467201058064596,-1.4540870825396937,-0.7519748846637171,-1.5866511503802698,-3.2684741655932825
-0.6710150877581995,-2.4670217672931116,-1.4545186201678675,-0.7517831961261194,-1.5865190664874476,-3.269120756779806
-0.6703441778766077,-2.466841999684469,-1.4549153486834925,-0.7516153494464319,-1.5867112318622034,-3.2698751131640833
-0.6690381209002894,-2.4664581457721155,-1.4556344191180628,-0.7512314955340784,-1.5866873900042933,-3.271144692097799
-0.6683910528766077,-2.466278378163473,-1.4561145941363733,-0.7510641256915491,-1.5867951552020472,-3.2718034426318567
-0.6677439848529261,-2.4660986105548304,-1.4564507643329065,-0.7507641951190394,-1.586759392415182,-3.2724018732654017
-0.6671212355243128,-2.465931240712301,-1.45683461824526,-0.7505839506732386,-1.586902920399801,-3.273036781941549
-0.6659110228167933,-2.465607468281881,-1.4575308004962366,-0.7502124945269983,-1.5869267622577112,-3.27419883409609
-0.6653001944171351,-2.465428177510397,-1.4578660170184534,-0.7500327269183558,-1.5869987646686,-3.2748575846301478
-0.6647246519671839,-2.4652965704547327,-1.4582741896258753,-0.7498882452594202,-1.5869510809527796,-3.2753964106189173
-0.6641019026385706,-2.46506911913027,-1.45856219926943,-0.7496488730060022,-1.5871546904193323,-3.2759953180896204
-0.6628077665912073,-2.464733425770895,-1.4593060652362269,-0.7492893377887171,-1.5871785322772425,-3.2772050539599817
-0.6622207800494593,-2.464613739644186,-1.4596417585956019,-0.7490852514850062,-1.5871785322772425,-3.277827803288595
-0.661513630543844,-2.46439773241152,-1.4600260893451136,-0.7488816420184534,-1.5871546904193323,-3.2784622351275843
-0.6608784834491175,-2.4642418066607874,-1.460409943257467,-0.7487137953387659,-1.5872862974749964,-3.2790969053851526
-0.6595848242389124,-2.4638946692096155,-1.4611418882953089,-0.7483060995685022,-1.58734637895693,-3.280414406453268
-0.6588781515704554,-2.463738743458883,-1.4615138212787073,-0.7481501738177698,-1.587334458027975,-3.281024996434347
-0.6581586042987269,-2.4635594526873987,-1.461909596120016,-0.747934643422262,-1.587334458027975,-3.28171950975527
-0.65747577348818,-2.4634154478656214,-1.4623053709613245,-0.7478025595294397,-1.5875023047076624,-3.282306496297018
-0.6561339537249964,-2.463043991719381,-1.4630849997149866,-0.747298542653219,-1.5875380674945276,-3.2836838404284876
-0.6554387251483362,-2.4628642241107386,-1.463433090840475,-0.7470830122577112,-1.5875499884234827,-3.28433067003359
-0.6548040548907679,-2.462684933339254,-1.4638293425189417,-0.7469032446490687,-1.5875142256366175,-3.2849531809436243
-0.6541569868670862,-2.4625170866595667,-1.4642012755023401,-0.7466872374164026,-1.5877178351031702,-3.2856958548175257
-0.6528509298907679,-2.4621456305133265,-1.4649689833270472,-0.746291462575094,-1.587682072316305,-3.287037197743551
-0.6521919409381312,-2.461977783833639,-1.4653766790973108,-0.7460158506976526,-1.5877059141742151,-3.2876959482776087
-0.651581112538473,-2.4618104139911097,-1.4657004515277308,-0.7458604017840784,-1.58767015138735,-3.288318697606222
-0.6509102026568812,-2.461606804524557,-1.4660967032061976,-0.7456086317645472,-1.5878256003009241,-3.2889655272113245
-0.6497238318072718,-2.461283032094137,-1.4668405691729944,-0.7452123800860804,-1.5877779165851038,-3.2901392618762415
-0.6491606871234339,-2.4611271063434046,-1.4671767393695276,-0.7450802961932581,-1.587921444569723,-3.2907262484179896
-0.6485737005816858,-2.460959259663717,-1.4675119558917444,-0.744948689137594,-1.587813679371969,-3.2913370768176478
-0.6479867140399378,-2.460815731679098,-1.4678242842303675,-0.7448046843158167,-1.5879934469806116,-3.2919119040118616
-0.6468718687640589,-2.4605401198016565,-1.468531910573141,-0.7445171515094202,-1.5879696051227015,-3.293037239705221
-0.6463688055621546,-2.460384194050924,-1.4688437620746058,-0.7443736235248011,-1.5881012121783655,-3.2935882250415247
-0.6458542982684534,-2.46025258699526,-1.4691317717181605,-0.7441332975970667,-1.588029686604635,-3.2940314451800745
-0.6453025976764124,-2.460109059010641,-1.469395939503805,-0.7439535299884241,-1.5880773703204554,-3.294534508381979
-0.6443799177752894,-2.459845844899313,-1.4699471632586878,-0.7436898390399378,-1.5880535284625452,-3.2954686323748987
-0.643984619771139,-2.4596899191485804,-1.4702237288104456,-0.7434623877154749,-1.5881732145892542,-3.29586369196047
-0.6435535589801233,-2.459557835255758,-1.4704635779010218,-0.7434142271624964,-1.588149372731344,-3.2962947527514856
-0.6430862585650843,-2.459450070058004,-1.4707158247577112,-0.7432101408587855,-1.5881612936602991,-3.2967141310321253
-0.6422837416278284,-2.4592226187335413,-1.4711955229388636,-0.743042294179098,-1.588149372731344,-3.2975881735431116
-0.64191180864443,-2.459102455769674,-1.4714353720294397,-0.7429822126971644,-1.588257137929098,-3.2978995482074183
-0.6415165106402796,-2.45899469057192,-1.4716151396380823,-0.7428863684283655,-1.588280979787008,-3.298307005559103
-0.6411092917071741,-2.458863083516256,-1.4718793074237269,-0.7427905241595667,-1.588257137929098,-3.298677984868185
-0.6403783003436487,-2.4586952368365687,-1.4722750822650355,-0.7425506750689905,-1.588280979787008,-3.2993367354022425
-0.6400426069842737,-2.4585874716388147,-1.472442928944723,-0.7425506750689905,-1.5883892218219202,-3.299720350896017
-0.6397078672992151,-2.458504025136129,-1.4726594130145472,-0.7422989050494593,-1.5884607473956507,-3.3000078837024134
-0.6394079367267054,-2.4584320227252405,-1.4728391806231897,-0.7423232237445276,-1.5883172194110315,-3.3003671805011194
-0.6387847105609339,-2.4582160154925745,-1.473199192677633,-0.7421191374408167,-1.5884130636798304,-3.300917927418844
-0.6384852568255823,-2.4581802527057093,-1.4733908812152308,-0.742047135029928,-1.5884130636798304,-3.3012412230121058
